Trial,TraderTypes,TotalProfit
trial0294,ZIC,909.0
trial0295,MarketMaker,2634.0
trial0295,ZIC,915.0
trial0296,MarketMaker,3585.0
trial0296,ZIC,900.0
trial0297,MarketMaker,3189.0
trial0297,ZIC,842.0
trial0298,MarketMaker,2989.0
trial0298,ZIC,947.0
trial0299,MarketMaker,2304.0
trial0299,ZIC,751.0
trial0300,MarketMaker,2725.0
trial0300,ZIC,1008.0
trial0301,MarketMaker,2313.0
trial0301,ZIC,920.0
trial0302,MarketMaker,3529.0
trial0302,ZIC,1233.0
trial0303,MarketMaker,3088.0
trial0303,ZIC,848.0
trial0304,MarketMaker,3014.0
trial0304,ZIC,600.0
trial0305,MarketMaker,2603.0
trial0305,ZIC,763.0
trial0306,MarketMaker,2968.0
trial0306,ZIC,847.0
trial0307,MarketMaker,2414.0
trial0307,ZIC,563.0
trial0308,MarketMaker,2969.0
trial0308,ZIC,991.0
trial0309,MarketMaker,1964.0
trial0309,ZIC,251.0
trial0310,MarketMaker,2263.0
trial0310,ZIC,1076.0
trial0311,MarketMaker,3480.0
trial0311,ZIC,1159.0
trial0312,MarketMaker,3208.0
trial0312,ZIC,893.0
trial0313,MarketMaker,3091.0
trial0313,ZIC,880.0
trial0314,MarketMaker,2864.0
trial0314,ZIC,504.0
trial0315,MarketMaker,2411.0
trial0315,ZIC,806.0
trial0316,MarketMaker,2675.0
trial0316,ZIC,1370.0
trial0317,MarketMaker,2974.0
trial0317,ZIC,565.0
trial0318,MarketMaker,2753.0
trial0318,ZIC,1173.0
trial0319,MarketMaker,2624.0
trial0319,ZIC,729.0
trial0320,MarketMaker,1910.0
trial0320,ZIC,1115.0
trial0321,MarketMaker,2695.0
trial0321,ZIC,478.0
trial0322,MarketMaker,2796.0
trial0322,ZIC,700.0
trial0323,MarketMaker,2170.0
trial0323,ZIC,919.0
trial0324,MarketMaker,2944.0
trial0324,ZIC,769.0
trial0325,MarketMaker,2779.0
trial0325,ZIC,887.0
trial0326,MarketMaker,2291.0
trial0326,ZIC,1256.0
trial0327,MarketMaker,3120.0
trial0327,ZIC,587.0
trial0328,MarketMaker,2300.0
trial0328,ZIC,1365.0
trial0329,MarketMaker,2554.0
trial0329,ZIC,581.0
trial0330,MarketMaker,2444.0
trial0330,ZIC,488.0
trial0331,MarketMaker,2701.0
trial0331,ZIC,849.0
trial0332,MarketMaker,3068.0
trial0332,ZIC,618.0
trial0333,MarketMaker,2572.0
trial0333,ZIC,714.0
trial0334,MarketMaker,1935.0
trial0334,ZIC,1220.0
trial0335,MarketMaker,2341.0
trial0335,ZIC,969.0
trial0336,MarketMaker,3139.0
trial0336,ZIC,1106.0
trial0337,MarketMaker,2640.0
trial0337,ZIC,1442.0
trial0338,MarketMaker,2917.0
trial0338,ZIC,826.0
trial0339,MarketMaker,3500.0
trial0339,ZIC,523.0
trial0340,MarketMaker,3093.0
trial0340,ZIC,881.0
trial0341,MarketMaker,2858.0
trial0341,ZIC,814.0
trial0342,MarketMaker,3711.0
trial0342,ZIC,351.0
trial0343,MarketMaker,3146.0
trial0343,ZIC,722.0
trial0344,MarketMaker,2336.0
trial0344,ZIC,1024.0
trial0345,MarketMaker,2459.0
trial0345,ZIC,1086.0
trial0346,MarketMaker,2505.0
trial0346,ZIC,818.0
trial0347,MarketMaker,3480.0
trial0347,ZIC,722.0
trial0348,MarketMaker,2890.0
trial0348,ZIC,1078.0
trial0349,MarketMaker,3047.0
trial0349,ZIC,680.0
trial0350,MarketMaker,3457.0
trial0350,ZIC,1219.0
trial0351,MarketMaker,3075.0
trial0351,ZIC,408.0
trial0352,MarketMaker,3087.0
trial0352,ZIC,921.0
trial0353,MarketMaker,2902.0
trial0353,ZIC,1401.0
trial0354,MarketMaker,2659.0
trial0354,ZIC,744.0
trial0355,MarketMaker,2533.0
trial0355,ZIC,1132.0
trial0356,MarketMaker,2612.0
trial0356,ZIC,680.0
trial0357,MarketMaker,2650.0
trial0357,ZIC,902.0
trial0358,MarketMaker,2848.0
trial0358,ZIC,1251.0
trial0359,MarketMaker,3369.0
trial0359,ZIC,868.0
trial0360,MarketMaker,2317.0
trial0360,ZIC,769.0
trial0361,MarketMaker,2546.0
trial0361,ZIC,721.0
trial0362,MarketMaker,2225.0
trial0362,ZIC,839.0
trial0363,MarketMaker,2404.0
trial0363,ZIC,714.0
trial0364,MarketMaker,2448.0
trial0364,ZIC,1067.0
trial0365,MarketMaker,2647.0
trial0365,ZIC,971.0
trial0366,MarketMaker,2302.0
trial0366,ZIC,1131.0
trial0367,MarketMaker,2535.0
trial0367,ZIC,1324.0
trial0368,MarketMaker,2901.0
trial0368,ZIC,709.0
trial0369,MarketMaker,1985.0
trial0369,ZIC,941.0
trial0370,MarketMaker,2675.0
trial0370,ZIC,1338.0
trial0371,MarketMaker,2472.0
trial0371,ZIC,436.0
trial0372,MarketMaker,3177.0
trial0372,ZIC,433.0
trial0373,MarketMaker,2396.0
trial0373,ZIC,997.0
trial0374,MarketMaker,3377.0
trial0374,ZIC,897.0
trial0375,MarketMaker,2579.0
trial0375,ZIC,713.0
trial0376,MarketMaker,2752.0
trial0376,ZIC,1163.0
trial0377,MarketMaker,2941.0
trial0377,ZIC,1372.0
trial0378,MarketMaker,2356.0
trial0378,ZIC,994.0
trial0379,MarketMaker,2489.0
trial0379,ZIC,963.0
trial0380,MarketMaker,2380.0
trial0380,ZIC,1057.0
trial0381,MarketMaker,2421.0
trial0381,ZIC,1494.0
trial0382,MarketMaker,4110.0
trial0382,ZIC,867.0
trial0383,MarketMaker,2548.0
trial0383,ZIC,963.0
trial0384,MarketMaker,3231.0
trial0384,ZIC,946.0
trial0385,MarketMaker,3037.0
trial0385,ZIC,553.0
trial0386,MarketMaker,3079.0
trial0386,ZIC,630.0
trial0387,MarketMaker,2899.0
trial0387,ZIC,896.0
trial0388,MarketMaker,2199.0
trial0388,ZIC,937.0
trial0389,MarketMaker,3061.0
trial0389,ZIC,948.0
trial0390,MarketMaker,2617.0
trial0390,ZIC,1038.0
trial0391,MarketMaker,2273.0
trial0391,ZIC,1433.0
trial0392,MarketMaker,2601.0
trial0392,ZIC,841.0
trial0393,MarketMaker,2835.0
trial0393,ZIC,809.0
trial0394,MarketMaker,3264.0
trial0394,ZIC,744.0
trial0395,MarketMaker,2866.0
trial0395,ZIC,855.0
trial0396,MarketMaker,2857.0
trial0396,ZIC,1067.0
trial0397,MarketMaker,2924.0
trial0397,ZIC,881.0
trial0398,MarketMaker,2915.0
trial0398,ZIC,864.0
trial0399,MarketMaker,2646.0
trial0399,ZIC,661.0
trial0400,MarketMaker,2126.0
trial0400,ZIC,819.0
trial0401,MarketMaker,2788.0
trial0401,ZIC,803.0
trial0402,MarketMaker,3096.0
trial0402,ZIC,1121.0
trial0403,MarketMaker,2138.0
trial0403,ZIC,1100.0
trial0404,MarketMaker,3140.0
trial0404,ZIC,409.0
trial0405,MarketMaker,3274.0
trial0405,ZIC,1001.0
trial0406,MarketMaker,2728.0
trial0406,ZIC,1338.0
trial0407,MarketMaker,1949.0
trial0407,ZIC,773.0
trial0408,MarketMaker,2689.0
trial0408,ZIC,890.0
trial0409,MarketMaker,2677.0
trial0409,ZIC,824.0
trial0410,MarketMaker,2292.0
trial0410,ZIC,1329.0
trial0411,MarketMaker,2227.0
trial0411,ZIC,1389.0
trial0412,MarketMaker,3092.0
trial0412,ZIC,1006.0
trial0413,MarketMaker,3035.0
trial0413,ZIC,1234.0
trial0414,MarketMaker,3422.0
trial0414,ZIC,1156.0
trial0415,MarketMaker,2538.0
trial0415,ZIC,668.0
trial0416,MarketMaker,2708.0
trial0416,ZIC,940.0
trial0417,MarketMaker,2319.0
trial0417,ZIC,1319.0
trial0418,MarketMaker,2639.0
trial0418,ZIC,866.0
trial0419,MarketMaker,2250.0
trial0419,ZIC,824.0
trial0420,MarketMaker,2783.0
trial0420,ZIC,578.0
trial0421,MarketMaker,2296.0
trial0421,ZIC,1478.0
trial0422,MarketMaker,2942.0
trial0422,ZIC,936.0
trial0423,MarketMaker,3037.0
trial0423,ZIC,1026.0
trial0424,MarketMaker,3210.0
trial0424,ZIC,989.0
trial0425,MarketMaker,3065.0
trial0425,ZIC,873.0
trial0426,MarketMaker,2753.0
trial0426,ZIC,481.0
trial0427,MarketMaker,2585.0
trial0427,ZIC,1036.0
trial0428,MarketMaker,3363.0
trial0428,ZIC,823.0
trial0429,MarketMaker,2959.0
trial0429,ZIC,633.0
trial0430,MarketMaker,2388.0
trial0430,ZIC,953.0
trial0431,MarketMaker,2645.0
trial0431,ZIC,939.0
trial0432,MarketMaker,2796.0
trial0432,ZIC,823.0
trial0433,MarketMaker,2678.0
trial0433,ZIC,921.0
trial0434,MarketMaker,2418.0
trial0434,ZIC,601.0
trial0435,MarketMaker,3177.0
trial0435,ZIC,1103.0
trial0436,MarketMaker,2572.0
trial0436,ZIC,920.0
trial0437,MarketMaker,2516.0
trial0437,ZIC,806.0
trial0438,MarketMaker,2597.0
trial0438,ZIC,973.0
trial0439,MarketMaker,3202.0
trial0439,ZIC,334.0
trial0440,MarketMaker,2702.0
trial0440,ZIC,1057.0
trial0441,MarketMaker,1757.0
trial0441,ZIC,950.0
trial0442,MarketMaker,2972.0
trial0442,ZIC,995.0
trial0443,MarketMaker,2937.0
trial0443,ZIC,1536.0
trial0444,MarketMaker,3092.0
trial0444,ZIC,1230.0
trial0445,MarketMaker,2682.0
